Frage 1,Frage 2,Frage 3,Frage 4,Frage 5,Frage 6,Frage 7,Frage 8,Frage 9,Frage 10,Frage 11,Frage 12,Frage 13,Frage 14,Frage 15,Frage 16,Frage 17,Frage 18,Frage 19,Frage 20,Frage 21,Frage 22,Frage 23,Frage 24,Frage 25,Frage 26,Frage 27,Frage 28,Frage 29,Frage 30,Frage 31,Frage 32,Frage 33,Frage 34,Frage 35,Frage 36,Frage 37,Frage 38
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Nein,Neutral,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Neutral,Neutral,Neutral,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Ja,Nein,Neutral,Ja,Neutral,Neutral,Ja,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Ja,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Ja,Neutral,Neutral,Ja,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Nein,Ja,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Ja,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Ja,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Nein,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Ja,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Neutral,Ja,Neutral,Neutral,Ja,Neutral,Neutral,Neutral,Ja,Neutral,Ja,Ja,Ja,Ja,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Nein,Neutral,Neutral,Neutral,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Nein,Neutral,Ja,Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Neutral,Ja,Ja,Ja,Ja,Neutral,Neutral,Ja,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Neutral,Ja,Ja,Neutral,Neutral,Neutral,Nein,Neutral,Ja,Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Neutral,Ja,Ja
Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Ja,Neutral,Ja,Neutral,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Nein,Neutral,Ja,Neutral,Neutral,Ja,Nein,Ja,Neutral,Ja,Neutral,Ja,Ja,Ja,Neutral,Neutral,Neutral,Ja,Ja,Ja

