Ja,Neutral,Nein
0.23,99.76,0.01
0.00,100.00,0.00
97.16,2.84,0.00
0.00,0.02,99.98
99.90,0.10,0.00
0.00,99.99,0.01
99.33,0.67,0.00
98.46,1.54,0.00
0.00,93.81,6.19
38.49,61.51,0.00
0.00,99.99,0.01
0.06,99.94,0.00
45.31,54.66,0.03
100.00,0.00,0.00
100.00,0.00,0.00
0.09,99.91,0.00
0.01,99.99,0.00
41.49,58.51,0.00
0.23,70.41,29.35
0.11,99.88,0.01
100.00,0.00,0.00
0.00,99.98,0.02
0.00,99.99,0.00
86.70,13.30,0.00
0.00,3.02,96.98
0.29,99.71,0.00
0.02,99.98,0.00
86.34,13.66,0.00
0.01,99.88,0.11
99.24,0.76,0.00
100.00,0.00,0.00
100.00,0.00,0.00
22.27,77.73,0.00
0.06,99.94,0.00
0.13,99.86,0.02
9.53,90.46,0.00
85.19,14.80,0.01
100.00,0.00,0.00
