,Ja,Neutral,Nein
0,0.23,99.76,0.01
1,0.0,100.0,0.0
2,97.16,2.84,0.0
3,0.0,0.02,99.98
4,99.9,0.1,0.0
5,0.0,99.99,0.01
6,99.33,0.67,0.0
7,98.46,1.54,0.0
8,0.0,93.81,6.19
9,38.49,61.51,0.0
10,0.0,99.99,0.01
11,0.06,99.94,0.0
12,45.31,54.66,0.03
13,100.0,0.0,0.0
14,100.0,0.0,0.0
15,0.09,99.91,0.0
16,0.01,99.99,0.0
17,41.49,58.51,0.0
18,0.23,70.41,29.35
19,0.11,99.88,0.01
20,100.0,0.0,0.0
21,0.0,99.98,0.02
22,0.0,99.99,0.0
23,86.7,13.3,0.0
24,0.0,3.02,96.98
25,0.29,99.71,0.0
26,0.02,99.98,0.0
27,86.34,13.66,0.0
28,0.01,99.88,0.11
29,99.24,0.76,0.0
30,100.0,0.0,0.0
31,100.0,0.0,0.0
32,22.27,77.73,0.0
33,0.06,99.94,0.0
34,0.13,99.86,0.02
35,9.53,90.46,0.0
36,85.19,14.8,0.01
37,100.0,0.0,0.0
