,Ja,Ja_logprob,Neutral,Neutral_logprob,Nein,Nein_logprob
0,1.24,-4.3876843,98.74,-0.012684109,-8.731434,0.02
1,0.0,0.0,100.0,-2.4034345e-05,-10.875024,0.0
2,90.19,-0.10324819,9.81,-2.3219981,-11.071999,0.0
3,0.0,0.0,0.01,-9.359462,-8.6735476e-05,99.99
4,99.48,-0.0052368375,0.52,-5.2552366,0.0,0.0
5,0.01,-9.01594,99.97,-0.00031472807,-8.562815,0.02
6,98.36,-0.016543131,1.64,-4.110293,0.0,0.0
7,98.55,-0.014617416,1.45,-4.2333674,-12.327117,0.0
8,0.0,0.0,64.42,-0.43973827,-1.0334883,35.58
9,14.8,-1.9102812,85.19,-0.16028118,-9.941531,0.0
10,0.0,0.0,99.99,-0.000111410634,-9.109487,0.01
11,0.1,-6.938478,99.9,-0.0009780288,-11.985353,0.0
12,81.26,-0.20747867,18.71,-1.6762286,-8.176229,0.03
13,100.0,0.0,0.0,-17.46875,0.0,0.0
14,100.0,-3.650519e-06,0.0,-12.531254,0.0,0.0
15,0.37,-5.5974746,99.63,-0.003724542,-11.597474,0.0
16,0.01,-9.531333,99.99,-8.339777e-05,-11.640708,0.0
17,36.3,-1.0134571,63.7,-0.45095706,-11.185332,0.0
18,0.08,-7.148169,52.3,-0.6481689,-0.7419189,47.62
19,0.11,-6.8136616,99.88,-0.001161531,-9.719912,0.01
20,100.0,0.0,0.0,-18.0,0.0,0.0
21,0.0,-12.687923,99.96,-0.00042376274,-7.781674,0.04
22,0.01,-9.703193,99.99,-6.7901296e-05,-12.000068,0.0
23,99.24,-0.007607578,0.76,-4.8826075,0.0,0.0
24,0.0,0.0,1.45,-4.2333612,-0.014611078,98.55
25,5.66,-2.8708656,94.33,-0.05836563,-10.089616,0.0
26,0.08,-7.1882586,99.92,-0.00075864623,-12.860133,0.0
27,99.17,-0.00835606,0.83,-4.789606,0.0,0.0
28,0.0,-11.359649,99.97,-0.0002733754,-8.250274,0.03
29,99.69,-0.003081221,0.31,-5.7843313,0.0,0.0
30,100.0,0.0,0.0,-17.9375,0.0,0.0
31,99.99,-5.3358446e-05,0.01,-9.843803,0.0,0.0
32,68.59,-0.3769821,31.4,-1.1582321,-11.033232,0.0
33,0.01,-9.093865,99.99,-0.00011582117,-12.98449,0.0
34,0.24,-6.0503063,99.66,-0.0034315004,-6.8471813,0.11
35,12.59,-2.072172,87.4,-0.13467202,-10.103422,0.0
36,98.46,-0.015554811,1.54,-4.171805,-11.874929,0.0
37,99.99,-6.229872e-05,0.01,-9.687562,0.0,0.0
