,Ja,Neutral,Nein
0,0.26,99.73,0.01
1,0.0,100.0,0.0
2,93.04,6.95,0.0
3,0.0,0.02,99.98
4,99.64,0.36,0.0
5,0.02,99.95,0.03
6,90.73,9.27,0.0
7,98.64,1.36,0.0
8,0.0,93.44,6.56
9,60.76,39.23,0.0
10,0.0,99.99,0.01
11,0.31,99.69,0.0
12,74.3,25.68,0.02
13,100.0,0.0,0.0
14,100.0,0.0,0.0
15,0.07,99.93,0.0
16,0.01,99.99,0.0
17,71.22,28.78,0.0
18,0.16,66.43,33.41
19,0.1,99.89,0.01
20,100.0,0.0,0.0
21,0.0,99.96,0.03
22,0.01,99.99,0.0
23,78.79,21.21,0.0
24,0.0,1.28,98.72
25,8.04,91.96,0.0
26,0.03,99.97,0.0
27,93.44,6.56,0.0
28,0.0,99.93,0.07
29,99.39,0.61,0.0
30,100.0,0.0,0.0
31,100.0,0.0,0.0
32,17.33,82.67,0.0
33,0.02,99.98,0.0
34,0.05,99.94,0.01
35,30.73,69.26,0.0
36,82.21,17.78,0.01
37,99.98,0.02,0.0
